Time_Sec,Amplitude
0.000000,-0.000016
0.033333,-0.000361
0.066667,-0.000653
0.100000,-0.000850
0.133333,-0.000932
0.166667,-0.000906
0.200000,-0.000801
0.233333,-0.000659
0.266667,-0.000523
0.300000,-0.000426
0.333333,-0.000382
0.366667,-0.000390
0.400000,-0.000428
0.433333,-0.000469
0.466667,-0.000486
0.500000,-0.000459
0.533333,-0.000379
0.566667,-0.000253
0.600000,-0.000101
0.633333,0.000051
0.666667,0.000179
0.700000,0.000267
0.733333,0.000314
0.766667,0.000327
0.800000,0.000322
0.833333,0.000317
0.866667,0.000320
0.900000,0.000333
0.933333,0.000349
0.966667,0.000358
1.000000,0.000348
1.033333,0.000316
1.066667,0.000263
1.100000,0.000199
1.133333,0.000137
1.166667,0.000087
1.200000,0.000056
1.233333,0.000043
1.266667,0.000041
1.300000,0.000041
1.333333,0.000035
1.366667,0.000019
1.400000,-0.000005
1.433333,-0.000029
1.466667,-0.000047
1.500000,-0.000054
1.533333,-0.000049
1.566667,-0.000039
1.600000,-0.000031
1.633333,-0.000035
1.666667,-0.000056
1.700000,-0.000092
1.733333,-0.000135
1.766667,-0.000173
1.800000,-0.000195
1.833333,-0.000196
1.866667,-0.000174
1.900000,-0.000138
1.933333,-0.000098
1.966667,-0.000070
2.000000,-0.000060
2.033333,-0.000070
2.066667,-0.000091
2.100000,-0.000110
2.133333,-0.000112
2.166667,-0.000088
2.200000,-0.000037
2.233333,0.000033
2.266667,0.000109
2.300000,0.000173
2.333333,0.000210
2.366667,0.000213
2.400000,0.000183
2.433333,0.000131
2.466667,0.000072
2.500000,0.000022
2.533333,-0.000010
2.566667,-0.000021
2.600000,-0.000017
2.633333,-0.000007
2.666667,-0.000000
2.700000,-0.000001
2.733333,-0.000008
2.766667,-0.000014
2.800000,-0.000011
2.833333,0.000003
2.866667,0.000030
2.900000,0.000062
2.933333,0.000090
2.966667,0.000101
3.000000,0.000091
3.033333,0.000057
3.066667,0.000009
3.100000,-0.000042
3.133333,-0.000084
3.166667,-0.000107
3.200000,-0.000110
3.233333,-0.000095
3.266667,-0.000073
3.300000,-0.000055
3.333333,-0.000050
3.366667,-0.000057
3.400000,-0.000069
3.433333,-0.000076
3.466667,-0.000069
3.500000,-0.000041
3.533333,0.000003
3.566667,0.000054
3.600000,0.000100
3.633333,0.000128
3.666667,0.000130
3.700000,0.000108
3.733333,0.000067
3.766667,0.000021
3.800000,-0.000019
3.833333,-0.000043
3.866667,-0.000051
3.900000,-0.000046
3.933333,-0.000036
3.966667,-0.000031
4.000000,-0.000037
4.033333,-0.000052
4.066667,-0.000069
4.100000,-0.000079
4.133333,-0.000071
4.166667,-0.000042
4.200000,0.000006
4.233333,0.000065
4.266667,0.000122
4.300000,0.000163
4.333333,0.000177
4.366667,0.000163
4.400000,0.000125
4.433333,0.000076
4.466667,0.000026
4.500000,-0.000014
4.533333,-0.000041
4.566667,-0.000057
4.600000,-0.000066
4.633333,-0.000075
4.666667,-0.000088
4.700000,-0.000103
4.733333,-0.000116
4.766667,-0.000121
4.800000,-0.000110
4.833333,-0.000083
4.866667,-0.000041
4.900000,0.000007
4.933333,0.000052
4.966667,0.000083
5.000000,0.000092
5.033333,0.000078
5.066667,0.000048
5.100000,0.000011
5.133333,-0.000021
5.166667,-0.000041
5.200000,-0.000045
5.233333,-0.000033
5.266667,-0.000014
5.300000,0.000004
5.333333,0.000014
5.366667,0.000014
5.400000,0.000007
5.433333,-0.000000
5.466667,0.000000
5.500000,0.000013
5.533333,0.000038
5.566667,0.000070
5.600000,0.000100
5.633333,0.000118
5.666667,0.000114
5.700000,0.000088
5.733333,0.000045
5.766667,-0.000003
5.800000,-0.000045
5.833333,-0.000072
5.866667,-0.000082
5.900000,-0.000079
5.933333,-0.000069
5.966667,-0.000061
6.000000,-0.000060
6.033333,-0.000067
6.066667,-0.000077
6.100000,-0.000082
6.133333,-0.000075
6.166667,-0.000052
6.200000,-0.000016
6.233333,0.000026
6.266667,0.000064
6.300000,0.000088
6.333333,0.000093
6.366667,0.000079
6.400000,0.000054
6.433333,0.000028
6.466667,0.000010
6.500000,0.000004
6.533333,0.000011
6.566667,0.000023
6.600000,0.000032
6.633333,0.000028
6.666667,0.000007
6.700000,-0.000026
6.733333,-0.000063
6.766667,-0.000091
6.800000,-0.000099
6.833333,-0.000084
6.866667,-0.000047
6.900000,-0.000000
6.933333,0.000043
6.966667,0.000070
7.000000,0.000073
7.033333,0.000053
7.066667,0.000017
7.100000,-0.000020
7.133333,-0.000047
7.166667,-0.000054
7.200000,-0.000039
7.233333,-0.000007
7.266667,0.000029
7.300000,0.000058
7.333333,0.000068
7.366667,0.000059
7.400000,0.000039
7.433333,0.000022
7.466667,0.000024
7.500000,0.000052
7.533333,0.000107
7.566667,0.000174
7.600000,0.000231
7.633333,0.000252
7.666667,0.000218
7.700000,0.000121
7.733333,-0.000026
7.766667,-0.000199
