Time_Sec,Amplitude
0.000000,0.141575
0.033333,0.957898
0.066667,1.519515
0.100000,1.667684
0.133333,1.394179
0.166667,0.842312
0.200000,0.249580
0.233333,-0.143215
0.266667,-0.178555
0.300000,0.166565
0.333333,0.777906
0.366667,1.445287
0.400000,1.931250
0.433333,2.044544
0.466667,1.696921
0.500000,0.928460
0.533333,-0.104336
0.566667,-1.173904
0.600000,-2.046683
0.633333,-2.546631
0.666667,-2.596391
0.700000,-2.225331
0.733333,-1.547572
0.766667,-0.722930
0.800000,0.084426
0.833333,0.738930
0.866667,1.153837
0.900000,1.299117
0.933333,1.198959
0.966667,0.920065
1.000000,0.552125
1.033333,0.184522
1.066667,-0.114102
1.100000,-0.307603
1.133333,-0.393233
1.166667,-0.393204
1.200000,-0.341071
1.233333,-0.268468
1.266667,-0.196865
1.300000,-0.135777
1.333333,-0.085588
1.366667,-0.042288
1.400000,-0.002101
1.433333,0.035745
1.466667,0.069288
1.500000,0.096442
1.533333,0.117421
1.566667,0.135046
1.600000,0.153121
1.633333,0.174102
1.666667,0.196990
1.700000,0.216471
1.733333,0.224498
1.766667,0.214010
1.800000,0.182350
1.833333,0.132146
1.866667,0.069702
1.900000,0.002385
1.933333,-0.064098
1.966667,-0.127845
2.000000,-0.191051
2.033333,-0.257649
2.066667,-0.329293
2.100000,-0.401578
2.133333,-0.461838
2.166667,-0.489607
2.200000,-0.460921
2.233333,-0.356524
2.266667,-0.171489
2.300000,0.077813
2.333333,0.352906
2.366667,0.600385
2.400000,0.766287
2.433333,0.813121
2.466667,0.731981
2.500000,0.543820
2.533333,0.290108
2.566667,0.018704
2.600000,-0.228430
2.633333,-0.421854
2.666667,-0.545436
2.700000,-0.593727
2.733333,-0.569121
2.766667,-0.480348
2.800000,-0.341691
2.833333,-0.171908
2.866667,0.007240
2.900000,0.172605
2.933333,0.301773
2.966667,0.376156
3.000000,0.384633
3.033333,0.326756
3.066667,0.214593
3.100000,0.072092
3.133333,-0.069108
3.166667,-0.177053
3.200000,-0.227721
3.233333,-0.211292
3.266667,-0.134729
3.300000,-0.020029
3.333333,0.101571
3.366667,0.197830
3.400000,0.243688
3.433333,0.227612
3.466667,0.155629
3.500000,0.052203
3.533333,-0.043922
3.566667,-0.089671
3.600000,-0.051198
3.633333,0.082959
3.666667,0.293107
3.700000,0.527331
3.733333,0.710306
3.766667,0.761247
3.800000,0.617000
3.833333,0.254710
3.866667,-0.292587
3.900000,-0.935698
3.933333,-1.550449
3.966667,-2.015879
4.000000,-2.252146
4.033333,-2.238123
4.066667,-1.999945
4.100000,-1.578689
4.133333,-0.997768
4.166667,-0.252723
4.200000,0.664473
4.233333,1.716352
4.266667,2.778177
4.300000,3.639640
4.333333,4.063615
4.366667,3.879574
4.400000,3.064892
4.433333,1.770514
4.466667,0.276892
4.500000,-1.097220
4.533333,-2.091055
4.566667,-2.567594
4.600000,-2.533008
4.633333,-2.112060
4.666667,-1.493758
4.700000,-0.868133
4.733333,-0.374814
4.766667,-0.076827
4.800000,0.037647
4.833333,0.031819
4.866667,-0.013638
4.900000,-0.032502
4.933333,0.007127
4.966667,0.099128
5.000000,0.209261
5.033333,0.292405
