Time_Sec,Amplitude
0.000000,-0.049017
0.033333,-0.292439
0.066667,-0.537000
0.100000,-0.773136
0.133333,-0.975205
0.166667,-1.113681
0.200000,-1.172026
0.233333,-1.154945
0.266667,-1.082228
0.300000,-0.974566
0.333333,-0.842629
0.366667,-0.685243
0.400000,-0.494747
0.433333,-0.265093
0.466667,0.000685
0.500000,0.286081
0.533333,0.561329
0.566667,0.788016
0.600000,0.926947
0.633333,0.948595
0.666667,0.844685
0.700000,0.635965
0.733333,0.369402
0.766667,0.103236
0.800000,-0.113008
0.833333,-0.253212
0.866667,-0.318375
0.900000,-0.330138
0.933333,-0.318441
0.966667,-0.308643
1.000000,-0.313137
1.033333,-0.329912
1.066667,-0.346404
1.100000,-0.344938
1.133333,-0.307498
1.166667,-0.219662
1.200000,-0.073962
1.233333,0.127277
1.266667,0.369591
1.300000,0.625522
1.333333,0.857392
1.366667,1.024235
1.400000,1.090004
1.433333,1.029989
1.466667,0.835857
1.500000,0.520951
1.533333,0.123877
1.566667,-0.294174
1.600000,-0.660562
1.633333,-0.908657
1.666667,-0.996777
1.700000,-0.922353
1.733333,-0.724880
1.766667,-0.474648
1.800000,-0.250366
1.833333,-0.113541
1.866667,-0.088469
1.900000,-0.154782
1.933333,-0.255720
1.966667,-0.319474
2.000000,-0.285580
2.033333,-0.127083
2.066667,0.138087
2.100000,0.449893
2.133333,0.723599
2.166667,0.877502
2.200000,0.861041
2.233333,0.672022
2.266667,0.356740
2.300000,-0.005860
2.333333,-0.329582
2.366667,-0.546765
2.400000,-0.625255
2.433333,-0.571452
2.466667,-0.420970
2.500000,-0.223005
2.533333,-0.024817
2.566667,0.139101
2.600000,0.250832
2.633333,0.306412
2.666667,0.310184
2.700000,0.269891
2.733333,0.194014
2.766667,0.091180
2.800000,-0.028550
2.833333,-0.151165
2.866667,-0.257162
2.900000,-0.323433
2.933333,-0.328787
2.966667,-0.261128
3.000000,-0.123673
3.033333,0.062525
3.066667,0.262058
3.100000,0.434379
3.133333,0.544642
3.166667,0.571258
3.200000,0.508182
3.233333,0.363007
3.266667,0.152725
3.300000,-0.100800
3.333333,-0.373262
3.366667,-0.637253
3.400000,-0.860412
3.433333,-1.005367
3.466667,-1.033057
3.500000,-0.909555
3.533333,-0.616149
3.566667,-0.161031
3.600000,0.411768
3.633333,1.021622
3.666667,1.561866
3.700000,1.920752
3.733333,2.008128
3.766667,1.779845
3.800000,1.251018
3.833333,0.493841
3.866667,-0.377319
3.900000,-1.228338
3.933333,-1.932125
3.966667,-2.395694
4.000000,-2.578859
4.033333,-2.495404
4.066667,-2.194750
4.100000,-1.732068
4.133333,-1.141550
4.166667,-0.428456
4.200000,0.411404
4.233333,1.351467
4.266667,2.297364
4.300000,3.082048
4.333333,3.507305
4.366667,3.418731
4.400000,2.778880
4.433333,1.699710
4.466667,0.415213
4.500000,-0.792833
4.533333,-1.681206
4.566667,-2.110198
4.600000,-2.069707
4.633333,-1.664997
4.666667,-1.071788
4.700000,-0.477673
4.733333,-0.029436
4.766667,0.198407
4.800000,0.208287
4.833333,0.061689
4.866667,-0.151343
4.900000,-0.343804
4.933333,-0.454678
4.966667,-0.458483
5.000000,-0.362702
5.033333,-0.197775
5.066667,-0.004286
5.100000,0.178939
5.133333,0.322818
5.166667,0.410842
5.200000,0.438139
5.233333,0.409021
5.266667,0.334054
5.300000,0.227034
5.333333,0.103081
5.366667,-0.021327
5.400000,-0.127774
5.433333,-0.197122
5.466667,-0.213227
5.500000,-0.167933
5.533333,-0.065688
5.566667,0.074161
5.600000,0.219633
5.633333,0.333718
5.666667,0.384961
5.700000,0.357102
5.733333,0.254701
5.766667,0.102912
5.800000,-0.059494
5.833333,-0.192285
5.866667,-0.266354
5.900000,-0.271579
5.933333,-0.217731
5.966667,-0.129126
6.000000,-0.035273
6.033333,0.038976
6.066667,0.079627
6.100000,0.083967
6.133333,0.056831
6.166667,0.006077
6.200000,-0.060471
6.233333,-0.135796
6.266667,-0.212041
6.300000,-0.277596
6.333333,-0.315825
6.366667,-0.307759
6.400000,-0.238220
6.433333,-0.102794
6.466667,0.086771
6.500000,0.300927
6.533333,0.496688
6.566667,0.628305
6.600000,0.660652
6.633333,0.579924
6.666667,0.398204
6.700000,0.151154
6.733333,-0.110792
6.766667,-0.335804
6.800000,-0.484228
6.833333,-0.537596
6.866667,-0.500907
6.900000,-0.398753
6.933333,-0.266838
6.966667,-0.141254
7.000000,-0.049063
7.033333,-0.003142
7.066667,-0.001633
7.100000,-0.030567
7.133333,-0.068658
7.166667,-0.093506
7.200000,-0.087421
7.233333,-0.041073
7.266667,0.045088
7.300000,0.160797
7.333333,0.287438
7.366667,0.401490
7.400000,0.479246
7.433333,0.501430
7.466667,0.457258
7.500000,0.347487
7.533333,0.184884
7.566667,-0.008791
7.600000,-0.207364
7.633333,-0.383567
7.666667,-0.510727
7.700000,-0.564543
7.733333,-0.526151
7.766667,-0.386416
7.800000,-0.150945
7.833333,0.155737
7.866667,0.489972
7.900000,0.795120
7.933333,1.012875
7.966667,1.095648
8.000000,1.016029
8.033333,0.770871
8.066667,0.379306
8.100000,-0.122710
8.133333,-0.686314
8.166667,-1.250543
8.200000,-1.745092
8.233333,-2.100503
8.266667,-2.263592
8.300000,-2.209123
8.333333,-1.940138
8.366667,-1.476832
8.400000,-0.841678
8.433333,-0.052894
8.466667,0.863962
8.500000,1.848115
8.533333,2.777926
8.566667,3.473751
8.600000,3.743242
8.633333,3.456095
8.666667,2.612287
8.700000,1.365205
8.733333,-0.017130
8.766667,-1.236052
8.800000,-2.053220
8.833333,-2.353524
8.866667,-2.163268
8.900000,-1.625092
8.933333,-0.943021
8.966667,-0.317738
9.000000,0.106933
9.033333,0.271672
9.066667,0.200162
9.100000,-0.024620
9.133333,-0.294860
9.166667,-0.511732
9.200000,-0.609743
9.233333,-0.567222
9.266667,-0.403753
9.300000,-0.168391
9.333333,0.077274
9.366667,0.277145
9.400000,0.395008
9.433333,0.421315
9.466667,0.371532
9.500000,0.278083
9.533333,0.178810
9.566667,0.105137
9.600000,0.073641
9.633333,0.083601
9.666667,0.120279
9.700000,0.161776
9.733333,0.187338
9.766667,0.184911
9.800000,0.155196
9.833333,0.110437
9.866667,0.068938
9.900000,0.047995
9.933333,0.057579
9.966667,0.096641
10.000000,0.153660
10.033333,0.211240
10.066667,0.251867
10.100000,0.261725
10.133333,0.232092
10.166667,0.159581
10.200000,0.046001
10.233333,-0.101913
10.266667,-0.272371
10.300000,-0.448518
10.333333,-0.610743
10.366667,-0.742180
10.400000,-0.834062
10.433333,-0.885742
10.466667,-0.897624
10.500000,-0.861138
10.533333,-0.753307
10.566667,-0.541841
10.600000,-0.200930
10.633333,0.269089
10.666667,0.828321
10.700000,1.397176
10.733333,1.869752
10.766667,2.136828
10.800000,2.113958
10.833333,1.768422
10.866667,1.135378
10.900000,0.314759
10.933333,-0.551491
10.966667,-1.313762
11.000000,-1.849427
11.033333,-2.088012
11.066667,-2.020980
11.100000,-1.695510
11.133333,-1.196590
11.166667,-0.624116
11.200000,-0.071378
11.233333,0.390590
11.266667,0.720777
11.300000,0.908621
11.333333,0.969133
11.366667,0.934468
11.400000,0.843028
11.433333,0.728096
11.466667,0.609472
11.500000,0.490802
11.533333,0.362982
11.566667,0.212449
11.600000,0.032096
11.633333,-0.169768
11.666667,-0.368008
11.700000,-0.528740
11.733333,-0.622548
11.766667,-0.635838
11.800000,-0.575742
11.833333,-0.467473
11.866667,-0.345207
11.900000,-0.239593
11.933333,-0.166884
11.966667,-0.124039
12.000000,-0.090783
12.033333,-0.037026
12.066667,0.066346
12.100000,0.235810
12.133333,0.466552
12.166667,0.730230
12.200000,0.979480
12.233333,1.157122
12.266667,1.207927
12.300000,1.090761
12.333333,0.788344
12.366667,0.313141
12.400000,-0.290079
12.433333,-0.946144
12.466667,-1.560306
12.500000,-2.039491
12.533333,-2.316368
12.566667,-2.363469
12.600000,-2.189380
12.633333,-1.819634
12.666667,-1.274284
12.700000,-0.557985
12.733333,0.326030
12.766667,1.340927
12.800000,2.381271
12.833333,3.267180
12.866667,3.784393
12.900000,3.760142
12.933333,3.140208
12.966667,2.026419
13.000000,0.652668
13.033333,-0.689225
13.066667,-1.738482
13.100000,-2.334001
13.133333,-2.443736
13.166667,-2.152862
13.200000,-1.620666
13.233333,-1.023706
13.266667,-0.504936
13.300000,-0.143685
13.333333,0.048469
13.366667,0.110502
13.400000,0.103621
13.433333,0.083550
13.466667,0.083032
13.500000,0.108331
13.533333,0.146792
13.566667,0.179084
13.600000,0.190525
13.633333,0.177818
13.666667,0.149120
13.700000,0.118232
13.733333,0.096979
13.766667,0.090272
13.800000,0.095402
13.833333,0.104537
13.866667,0.108979
13.900000,0.103518
13.933333,0.088618
