# Time_Sec,Amplitude
0.000000,-0.001013
0.033333,-0.036576
0.066667,-0.066767
0.100000,-0.087906
0.133333,-0.098794
0.166667,-0.100351
0.200000,-0.094481
0.233333,-0.083006
0.266667,-0.067264
0.300000,-0.048391
0.333333,-0.027849
0.366667,-0.007705
0.400000,0.009636
0.433333,0.022112
0.466667,0.028720
0.500000,0.029870
0.533333,0.027200
0.566667,0.022954
0.600000,0.019189
0.633333,0.017130
0.666667,0.016921
0.700000,0.017807
0.733333,0.018621
0.766667,0.018329
0.800000,0.016423
0.833333,0.013056
0.866667,0.008925
0.900000,0.004961
0.933333,0.001998
0.966667,0.000511
1.000000,0.000506
1.033333,0.001548
1.066667,0.002924
1.100000,0.003871
1.133333,0.003814
1.166667,0.002556
1.200000,0.000317
1.233333,-0.002367
1.266667,-0.004883
1.300000,-0.006764
1.333333,-0.007819
1.366667,-0.008120
1.400000,-0.007891
1.433333,-0.007376
1.466667,-0.006752
1.500000,-0.006097
1.533333,-0.005410
1.566667,-0.004641
1.600000,-0.003719
1.633333,-0.002568
1.666667,-0.001131
1.700000,0.000601
1.733333,0.002554
1.766667,0.004556
1.800000,0.006350
1.833333,0.007628
1.866667,0.008066
1.900000,0.007365
1.933333,0.005330
1.966667,0.001959
2.000000,-0.002470
2.033333,-0.007366
2.066667,-0.011902
2.100000,-0.015176
2.133333,-0.016447
2.166667,-0.015341
2.200000,-0.011955
2.233333,-0.006837
2.266667,-0.000847
2.300000,0.005034
2.333333,0.009921
2.366667,0.013205
2.400000,0.014661
2.433333,0.014456
2.466667,0.013059
2.500000,0.011056
2.533333,0.008958
2.566667,0.007052
2.600000,0.005359
2.633333,0.003696
2.666667,0.001800
2.700000,-0.000522
2.733333,-0.003246
2.766667,-0.006068
2.800000,-0.008475
2.833333,-0.009920
2.866667,-0.010037
2.900000,-0.008770
2.933333,-0.006392
2.966667,-0.003424
3.000000,-0.000490
3.033333,0.001834
3.066667,0.003155
3.100000,0.003327
3.133333,0.002472
3.166667,0.000937
3.200000,-0.000783
3.233333,-0.002173
3.266667,-0.002839
3.300000,-0.002612
3.333333,-0.001582
3.366667,-0.000059
3.400000,0.001536
3.433333,0.002778
3.466667,0.003353
3.500000,0.003143
3.533333,0.002264
3.566667,0.001051
3.600000,-0.000054
3.633333,-0.000669
3.666667,-0.000619
3.700000,0.000000
3.733333,0.000877
3.766667,0.001610
3.800000,0.001857
3.833333,0.001449
3.866667,0.000427
3.900000,-0.000980
3.933333,-0.002438
3.966667,-0.003607
4.000000,-0.004246
4.033333,-0.004265
4.066667,-0.003735
4.100000,-0.002834
4.133333,-0.001770
4.166667,-0.000714
4.200000,0.000234
4.233333,0.001053
4.266667,0.001763
4.300000,0.002401
4.333333,0.002997
4.366667,0.003575
4.400000,0.004140
4.433333,0.004660
4.466667,0.005048
4.500000,0.005159
4.533333,0.004836
4.566667,0.003979
4.600000,0.002610
4.633333,0.000899
4.666667,-0.000872
4.700000,-0.002402
4.733333,-0.003483
4.766667,-0.004077
4.800000,-0.004316
4.833333,-0.004430
4.866667,-0.004620
4.900000,-0.004960
4.933333,-0.005357
4.966667,-0.005588
5.000000,-0.005382
5.033333,-0.004525
5.066667,-0.002944
5.100000,-0.000762
5.133333,0.001716
5.166667,0.004070
5.200000,0.005874
5.233333,0.006799
5.266667,0.006697
5.300000,0.005637
5.333333,0.003877
5.366667,0.001801
5.400000,-0.000172
5.433333,-0.001691
5.466667,-0.002557
5.500000,-0.002775
5.533333,-0.002527
5.566667,-0.002089
5.600000,-0.001695
5.633333,-0.001428
5.666667,-0.001178
5.700000,-0.000699
5.733333,0.000252
5.766667,0.001754
5.800000,0.003606
5.833333,0.005339
5.866667,0.006365
5.900000,0.006215
5.933333,0.004752
5.966667,0.002261
6.000000,-0.000671
6.033333,-0.003390
6.066667,-0.005421
6.100000,-0.006580
6.133333,-0.006928
6.166667,-0.006640
6.200000,-0.005871
6.233333,-0.004691
6.266667,-0.003090
6.300000,-0.001063
6.333333,0.001286
6.366667,0.003668
6.400000,0.005627
6.433333,0.006671
