# Time_Sec,Amplitude
0.000000,0.000232
0.033333,0.003146
0.066667,0.005678
0.100000,0.007565
0.133333,0.008754
0.166667,0.009387
0.200000,0.009679
0.233333,0.009761
0.266667,0.009588
0.300000,0.008957
0.333333,0.007629
0.366667,0.005475
0.400000,0.002569
0.433333,-0.000808
0.466667,-0.004220
0.500000,-0.007182
0.533333,-0.009295
0.566667,-0.010362
0.600000,-0.010408
0.633333,-0.009625
0.666667,-0.008272
0.700000,-0.006588
0.733333,-0.004746
0.766667,-0.002856
0.800000,-0.001008
0.833333,0.000667
0.866667,0.001979
0.900000,0.002724
0.933333,0.002757
0.966667,0.002062
1.000000,0.000807
1.033333,-0.000660
1.066667,-0.001885
1.100000,-0.002433
1.133333,-0.002035
1.166667,-0.000690
1.200000,0.001300
1.233333,0.003411
1.266667,0.005078
1.300000,0.005923
1.333333,0.005900
1.366667,0.005318
1.400000,0.004743
1.433333,0.004837
1.466667,0.006159
1.500000,0.008936
1.533333,0.012854
1.566667,0.016949
1.600000,0.019739
1.633333,0.019640
1.666667,0.015561
1.700000,0.007409
1.733333,-0.003762
1.766667,-0.016020
1.800000,-0.027075
1.833333,-0.034853
1.866667,-0.038006
1.900000,-0.036247
1.933333,-0.030399
1.966667,-0.022103
2.000000,-0.013264
2.033333,-0.005429
2.066667,0.000631
2.100000,0.004980
2.133333,0.008223
2.166667,0.011037
2.200000,0.013772
2.233333,0.016273
2.266667,0.017992
2.300000,0.018305
2.333333,0.016848
2.366667,0.013732
2.400000,0.009526
2.433333,0.005060
2.466667,0.001151
2.500000,-0.001638
2.533333,-0.003133
2.566667,-0.003548
2.600000,-0.003369
2.633333,-0.003157
2.666667,-0.003343
2.700000,-0.004072
2.733333,-0.005131
2.766667,-0.005976
2.800000,-0.005874
2.833333,-0.004146
2.866667,-0.000421
2.900000,0.005188
2.933333,0.012070
2.966667,0.019216
3.000000,0.025369
3.033333,0.029195
3.066667,0.029496
3.100000,0.025495
3.133333,0.017158
3.166667,0.005395
3.200000,-0.008058
3.233333,-0.021130
3.266667,-0.032079
3.300000,-0.039965
3.333333,-0.044699
3.366667,-0.046719
3.400000,-0.046509
3.433333,-0.044256
3.466667,-0.039804
3.500000,-0.032881
3.533333,-0.023450
3.566667,-0.011942
3.600000,0.000769
3.633333,0.013671
3.666667,0.026004
3.700000,0.037429
3.733333,0.047810
3.766667,0.056754
3.800000,0.063213
3.833333,0.065478
3.866667,0.061698
3.900000,0.050758
3.933333,0.033146
3.966667,0.011326
4.000000,-0.010698
4.033333,-0.028583
4.066667,-0.039128
4.100000,-0.041290
4.133333,-0.036315
4.166667,-0.027047
4.200000,-0.016832
4.233333,-0.008477
4.266667,-0.003613
